limit,epsilon,minpts,sf_time,df_time,ddb_time,result_time
30k,300m,9,SF:0.269s,DF:0.817s,DDB:350.150s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.269s	DF : 38244.817s	DDF : 37865.150s]
30k,300m,12,SF:0.276s,DF:0.794s,DDB:352.588s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.276s	DF : 36668.294s	DDF : 36481.588s]
30k,300m,15,SF:0.294s,DF:0.857s,DDB:351.159s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.294s	DF : 35360.357s	DDF : 35229.159s]
30k,300m,18,SF:0.273s,DF:0.751s,DDB:326.792s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.273s	DF : 34254.751s	DDF : 33991.292s]
30k,300m,21,SF:0.244s,DF:0.740s,DDB:310.688s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.244s	DF : 33140.240s	DDF : 33036.188s]
30k,400m,9,SF:0.254s,DF:0.753s,DDB:327.524s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.254s	DF : 39818.253s	DDF : 39522.524s]
30k,400m,12,SF:0.252s,DF:0.770s,DDB:326.005s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.252s	DF : 38522.270s	DDF : 38211.505s]
30k,400m,15,SF:0.248s,DF:0.712s,DDB:321.640s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.248s	DF : 37200.712s	DDF : 37025.140s]
30k,400m,18,SF:0.292s,DF:0.714s,DDB:325.599s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.292s	DF : 36069.714s	DDF : 35907.099s]
30k,400m,21,SF:0.247s,DF:0.692s,DDB:322.413s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.247s	DF : 35166.692s	DDF : 35083.413s]
30k,500m,9,SF:0.297s,DF:0.738s,DDB:333.178s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.297s	DF : 40967.238s	DDF : 40720.678s]
30k,500m,12,SF:0.253s,DF:0.770s,DDB:331.773s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.253s	DF : 39680.270s	DDF : 39456.273s]
30k,500m,15,SF:0.254s,DF:0.740s,DDB:333.284s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.254s	DF : 38669.240s	DDF : 38371.784s]
30k,500m,18,SF:0.252s,DF:0.742s,DDB:356.365s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.252s	DF : 37631.242s	DDF : 37437.865s]
30k,500m,21,SF:0.267s,DF:0.758s,DDB:341.784s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 45000.267s	DF : 36732.758s	DDF : 36562.284s]
40k,100m,9,SF:0.292s,DF:0.834s,DDB:406.283s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.292s	DF : 42126.834s	DDF : 41533.283s]
40k,100m,12,SF:0.377s,DF:0.893s,DDB:429.248s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.377s	DF : 39168.893s	DDF : 38608.748s]
40k,100m,15,SF:0.350s,DF:0.949s,DDB:424.064s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.350s	DF : 36801.949s	DDF : 36410.564s]
40k,100m,18,SF:0.363s,DF:0.813s,DDB:424.166s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.363s	DF : 35025.813s	DDF : 34582.166s]
40k,100m,21,SF:0.311s,DF:0.829s,DDB:425.447s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.311s	DF : 33018.829s	DDF : 32738.447s]
40k,200m,9,SF:0.374s,DF:0.896s,DDB:345.058s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.374s	DF : 47094.896s	DDF : 46453.558s]
40k,200m,12,SF:0.317s,DF:0.916s,DDB:344.116s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 60000.317s	DF : 44423.416s	DDF : 43874.116s]
